soc10m,sc2010mg,N,w_human_E1,w_human_E2,emmr_human
1115  'Chief executives and Snr officials',111,62.80000030994415,16.84093936532736,25.21343211829662,.46891171
1116  'Elected officers and representatives',111,49.3500000834465,13.26248979568481,24.89204566180706,.52094251
1121  'Production mngrs and directors in manufacturing',112,41.35000038146973,7.896818855777383,22.92957316339016,.46823713
1122  'Production mngrs and directors in construction',112,33.55000030994415,7.529219083487988,16.55545243620872,.4711459
1123  'Production mngrs and directors in mining and energy',112,56.95000028610229,11.59423588216305,23.53648093342781,.41022786
1131  'Financial mngrs and directors',113,67.9691044986248,21.88701743260026,60.73724452778697,.76881462
1132  'Marketing and sales directors',113,50.26400535553694,16.77899213880301,53.60159775614738,.86701787
1133  'Purchasing mngrs and directors',113,47.65891906619072,8.626145176589489,28.25466576218605,.47742328
1134  'Advertising and public relations directors',113,.9229332879185677,0,1.159420251846313,.66370797
1135  'Human resource mngrs and directors',113,113.8000004887581,31.01843401044607,52.018460765481,.50112182
1136  'IT and telecommunications directors',113,68.2500005364418,17.35021283477545,39.68718998879194,.54496419
1139  'Functional mngrs and directors n.e.c.',113,75.46833151578903,29.50041084736586,77.48577873781323,.90426409
1150  'Financial institution mngrs and directors',115,.2734158337116241,.2708791196346283,.5791208744049072,2.0497699
1161  'mngrs and directors in transport and distribution',116,30.87683400511742,5.955661654472351,23.70674325525761,.5767765
1162  'mngrs and directors in storage and warehousing',116,48.69791836291552,12.21767825633287,33.29239062964916,.5927127
1171  'Officers in armed forces',117,57.1500004529953,4.555137101560831,19.24479666352272,.24807586
1172  'Snr police officers',117,74.00000059604645,10.74697825312614,30.83653257787228,.35358438
"1173  'Snr offcrs in fire, amblnc, prison and related srvcs'",117,108.4500001072884,25.74664756283164,37.8841518163681,.41206753
1181  'Health servcs and public health mngrs and directors',118,65.55000001192093,16.3269478790462,35.02386867627501,.51623011
1184  'Social servcs mngrs and directors',118,21.40000015497208,5.216339059174061,9.478659428656101,.46521816
1190  'mngrs and directors in retail and wholesale',119,35.30000001192093,10.23071545362473,16.95567098259926,.52998728
1211  'mngrs and Prprtrs in agriculture and horticulture',121,32.54999971389771,4.5774215310812,8.578157402575016,.27239633
"1213  'mngrs and Prprtrs in forestry, fishing and related s'",121,103.7499999403954,12.40429624915123,33.3001200966537,.28004199
1221  'Hotel and accommodation mngrs and prprtrs',122,50.90000015497208,12.17850864678621,16.64670850336552,.40278709
1223  'Restrnt and catering establishment mngrs and prprtrs',122,100.5500007271767,13.12272795662284,36.95453077927232,.31427145
1224  'Publicans and mngrs of licensed premises',122,29.10000032186508,4.109777312725782,7.425365813076496,.26881307
1225  'Leisure and sports mngrs',122,134.9580010101199,45.65590547770262,66.51005512103438,.58470732
