b2soc20,b3soc20,hi_gaisi,gaisi_rank,p50_gaisi_rank,N
11,111,.70588237,8.4517651,8.6800003,10.44194819405675
11,112,.23529412,7.1248531,6.9849997,86.50456609576941
11,113,.60169494,8.1536436,8.3699999,241.0717377327383
11,114,.45589575,1,1,1.592712163925171
11,115,.2631579,6.8071928,6.6999998,67.38046327233315
11,116,.45589575,1,1,4.613145932555199
11,117,.66666669,8.369524,8.5500002,24.9451120197773
12,121,.1,5.5640001,5.2600002,8.998777858912945
12,122,0,4.9945002,4.9699998,42.57935334742069
12,123,0,5.5904169,5.3150001,23.81680038571358
12,124,.23809524,7.0571427,6.8699999,20.91233743354678
12,125,.031578947,5.8098946,5.96,101.1391205564141
21,211,.81818181,8.6903028,8.9499998,34.69505032896996
21,212,.82954544,8.9530678,9.2950001,84.48655555397272
21,213,.95275593,9.38311,9.5550003,241.3229738622904
21,214,.2857143,7.5366669,7.4400001,22.16165553033352
21,215,.89473683,9.0926313,9.4300003,15.63210666179657
21,216,.93939394,9.34303,9.4899998,34.18940468877554
22,221,0,4.9715152,4.8099999,56.28552197292447
22,222,0,5.4603333,5.2799997,44.78448555245996
22,223,0,4.6019015,4.4849997,110.2705847099423
22,224,0,4.3966665,4.25,8.314870789647102
22,225,0,4.8363075,4.8499999,66.29513818770647
23,231,.0060422961,5.6895771,5.5900002,286.5278784483671
23,232,0,6.3421211,6.3900003,61.89646996930242
24,241,.64583331,8.3443747,8.4549999,44.84930821880698
24,242,.47572815,7.7611651,7.8400002,107.6616357937455
24,243,.67407405,8.4377775,8.5,141.932067822665
24,244,.65625,8.2681246,8.375,60.24873233214021
24,245,.40476191,7.6540475,7.6500001,35.64802479371428
24,246,.55319148,8.1031914,8.1400003,42.56673841550946
24,247,.55678838,1,1,4.716092556715012
24,248,.66666669,8.1628885,8.3299999,44.90176539868116
24,249,.70588237,8.6129408,9.0249996,39.99079748988152
31,311,0,5.251905,5.1100001,58.62232220545411
31,312,0,5.8192306,6.0100002,16.63775382190943
31,313,.020408163,6.2257142,6.1500001,62.96150902658701
32,321,0,4.8168182,4.6949997,19.78857520222664
32,322,0,5.2784157,5.2199998,92.9924339838326
32,323,0,3.3008695,3.3800001,23.90014079213142
32,324,.018007403,1,1,4.250889673829079
33,331,0,4.3543282,4.2199998,70.69832577556372
34,341,.16393442,6.3945904,6.5700002,68.27889285236597
34,342,.27272728,6.9663639,6.8400002,10.03855207562447
34,343,0,6.1053843,5.8699999,10.23910257220268
35,351,.090909094,6.5245457,6.29,11.7840436398983
35,352,.55555558,8.1122217,8.0200005,17.52358639240265
35,353,.48333332,7.9276667,7.9650002,65.16346357017756
35,354,.59183675,8.2872448,8.4400005,85.13281398639083
35,355,.54421771,8.0176868,8.2200003,160.0390825085342
35,356,.53333336,8.1346664,8.5600004,17.87299482524395
35,357,.61904764,8.3503571,8.4400005,75.12370534986258
35,358,.48571429,7.776,7.8800001,28.79761266708374
41,411,.32380953,7.3679047,7.5300002,89.70326132886112
41,412,.16666667,6.7615943,6.7700005,114.6216233056039
41,413,.21590909,6.8532953,6.8600001,87.13108818605542
41,414,.090909094,6.568409,6.5550003,34.53933592885733
41,415,.14084508,6.4780984,6.3850002,124.7563412357122
42,421,0,4.1637964,4.0700002,91.88225895166397
51,511,0,2.7843182,2.5999999,48.4850821569562
52,521,0,2.1933334,2.26,7.107526462525129
52,522,0,2.5995121,2.6600001,48.99354925751686
52,523,0,2.731842,2.6750002,41.8762401714921
52,524,0,2.9284616,2.9300001,93.6476131528616
52,525,0,3.1044445,3.1800001,16.40655887126923
53,531,0,1.7329762,1.705,93.02428123354912
53,532,0,1.75,1.8050001,26.41853728890419
53,533,0,2.0164285,1.97,16.44453370571136
54,541,.0010255572,.99930894,.99682224,3.844357594847679
54,542,0,1.83125,1.7950001,9.499913156032562
54,543,0,1.9833333,2.0050001,71.0098597407341
54,544,.047619049,2.4628572,1.99,20.62154300510883
61,611,0,2.9737704,3.0599999,110.5631588734686
61,612,0,2.7049999,2.7149999,7.593128465116024
61,613,0,3.1470864,3.26,253.2339903507382
62,621,0,3.0534782,3.0599999,30.20026633143425
62,622,0,2.7802632,2.7449999,36.60598793625832
62,623,0,2.4793749,2.375,30.15923257172108
62,624,0,2.9890001,3.2150002,9.001957014203072
62,625,.0022403628,.99999899,.99999088,2.592394828796387
63,631,0,2.3039999,1.4,6.124611139297485
71,711,0,2.5293295,2.49,158.9292808622122
71,712,0,3.1469231,3.3800001,11.32519666850567
71,713,0,3.7015626,3.4450002,54.52732752077281
72,721,.020408163,5.4765306,5.3099999,101.2949208058417
72,722,.035497818,1,1,4.420218363404274
81,811,0,.28270271,.30000001,36.11941087990999
81,812,.000060115646,.38055968,.37657842,2.773681461811066
81,813,0,.34727272,.32999998,25.41015234589577
81,814,0,.32699999,.315,32.37051223218441
81,815,0,.26555556,.245,24.75428214669228
81,816,0,.68363637,.43000001,13.6935595870018
82,821,0,1.2189516,1.255,152.0728612095118
82,822,0,1.271875,1.38,18.15680988132954
82,823,0,1.2455555,1.29,10.17799910902977
91,911,0,.083333336,.090000004,10.268809273839
91,912,0,.075000003,.079999998,18.69442337751389
91,913,0,.07181818,.075000003,21.38056843727827
92,921,0,.61400002,.66500002,20.83058458566666
92,922,0,.83131313,.81,110.836279258132
92,923,0,1.4727907,.95999998,56.39889615029097
92,924,0,.7858333,.69999999,13.57704922556877
92,925,0,.75140846,.69,83.39885349571705
92,926,0,.85311323,.86000001,144.3465472310781
,,.15970962,4.5945826,4.3699999,3309.279299497604
