soc10m,sc2010mg,N,E0,E1,E2,gaisi_beta,E1_3d,E2_3d,N_3d
1115  'Chief executives and Snr officials',111,77.55000042915344,29.35000037029386,22.77750045061111,25.42250048927963,.45762411,37.2925,37.470001,130.55
1116  'Elected officers and representatives',111,53.00000011920929,26.43749995529652,14.51500027999282,12.04750037752092,.38752359,37.2925,37.470001,130.55
1121  'Production mngrs and directors in manufacturing',112,46.00000035762787,11.34750031679869,13.33250034600496,21.3200006633997,.52157611,44.264999,62.620003,154.14999
1122  'Production mngrs and directors in construction',112,44.40000039339066,16.43500044941902,13.09250038862228,14.87250056862831,.46235925,44.264999,62.620003,154.14999
1123  'Production mngrs and directors in mining and energy',112,63.75000035762787,19.48250035941601,17.84000052511692,26.42750068381429,.48711765,44.264999,62.620003,154.14999
1131  'Financial mngrs and directors',113,81.56970876455307,39.04000065103173,30.02000065892935,51.19000091962516,.68180948,218.15001,255.72751,528.18744
1132  'Marketing and sales directors',113,3.808370731770992,11.57250007614493,9.042500246316195,9.085000205785036,.65509653,218.15001,255.72751,528.18744
1133  'Purchasing mngrs and directors',113,75.05783858895302,26.51750012114644,26.7900005467236,40.992500949651,.62999749,218.15001,255.72751,528.18744
1134  'Advertising and public relations directors',113,12.66783785820007,25.67250045016408,19.92000051215291,24.65750055015087,2.5457187,218.15001,255.72751,528.18744
1135  'Human resource mngrs and directors',113,148.4000005125999,49.05750082805753,55.18500121682882,44.15750113688409,.5206452,218.15001,255.72751,528.18744
1136  'IT and telecommunications directors',113,71.35000056028366,17.84000051952899,25.12500056251884,28.38500103354454,.55105114,218.15001,255.72751,528.18744
1139  'Functional mngrs and directors n.e.c.',113,135.3337084054947,72.12250086665154,52.06750153191388,57.26000177487731,.59628528,218.15001,255.72751,528.18744
1150  'Financial institution mngrs and directors',115,.2251659631729126,.0700000002980232,.1400000005960464,.4899999797344208,1.7098498,.14,.48999998,.22516596
1161  'mngrs and directors in transport and distribution',116,111.0810102820396,60.71750069782138,43.28600116819143,60.0965016297996,.66018713,63.7285,95.096504,154.1418
1162  'mngrs and directors in storage and warehousing',116,43.06079443544149,20.40750024095178,20.4425005428493,35.00000078231096,.88113797,63.7285,95.096504,154.1418
1171  'Officers in armed forces',117,78.15000039339066,34.57500026375055,18.00000045076013,25.57500081881881,.39395395,71.158005,94.0495,280.75
1172  'Snr police officers',117,76.25000059604645,31.73000036925077,18.36250054463744,26.15750075504184,.41234428,71.158005,94.0495,280.75
"1173  'Snr offcrs in fire, amblnc, prison and related srvcs'",117,126.3500000834465,49.23750064522028,34.79550076089799,42.31700084730983,.44284925,71.158005,94.0495,280.75
1181  'Health servcs and public health mngrs and directors',118,78.94999998807907,30.84500037878752,22.76000063121319,25.34500047564507,.44879672,30.592501,32.7075,102.6
1184  'Social servcs mngrs and directors',118,23.65000015497208,8.455000337213278,7.832500204443932,7.362500175833702,.48683932,30.592501,32.7075,102.6
1190  'mngrs and directors in retail and wholesale',119,46.80000019073486,16.03500012680888,13.09500028565526,17.67000032961369,.46858975,13.095,17.67,46.799999
1211  'mngrs and Prprtrs in agriculture and horticulture',121,36.79999965429306,13.55000007152557,10.74750014767051,12.50250024348497,.46192256,34.639999,55.215,161.10001
"1213  'mngrs and Prprtrs in forestry, fishing and related s'",121,124.3000000119209,57.6950000654906,23.89250068366528,42.71250128373504,.36402857,34.639999,55.215,161.10001
1221  'Hotel and accommodation mngrs and prprtrs',122,59.90000015497208,18.73000014200807,15.37000036239624,25.8000006377697,.47195327,105.84251,133.1745,394.37799
1223  'Restrnt and catering establishment mngrs and prprtrs',122,110.4500007629395,45.51300041377544,27.01350060664117,37.92350096255541,.41625395,105.84251,133.1745,394.37799
1224  'Publicans and mngrs of licensed premises',122,40.20000040531158,19.55500003695488,7.660000257194042,12.98500057682395,.35205224,105.84251,133.1745,394.37799
1225  'Leisure and sports mngrs',122,155.6280011385679,63.41250091791153,47.39150116965175,45.49600142799318,.4506869,105.84251,133.1745,394.37799
1226  'Travel agency mngrs and prprtrs',122,28.20000028610229,8.822500068694353,8.407500278204679,10.97000038996339,.49264187,105.84251,133.1745,394.37799
1241  'Health care practice mngrs',124,95.60000014305115,31.18250055983663,31.29000068828464,33.127500962466,.50056225,47.391003,48.884003,153.89999
"1242  'Residential, day and domic care mngrs and prprtrs'",124,58.30000054836273,26.44250028394163,16.10100037977099,15.75650033727288,.4113079,47.391003,48.884003,153.89999
"1251  'Property, housing and estate mngrs'",125,164.4000007510185,65.70000096783042,43.59000117518008,55.11000146344304,.43275547,305.49551,377.84702,1035.298
